phi0_omega_k,phi1_u_k,y_omega_k1
-11.30973339,0.56999987,-10.05309677
-10.05309677,0.52999985,-10.05309677
-10.05309677,0.48999986,-9.42477798
-9.42477798,0.44999987,-10.05309677
-10.05309677,0.40999988,-8.79645920
-8.79645920,0.36999989,-8.16814041
-8.16814041,0.32999989,-8.16814041
-8.16814041,0.28999990,-6.91150427
-6.91150427,0.24999991,-7.53982306
-7.53982306,0.28999990,-6.28318548
-6.28318548,0.32999989,-7.53982306
-7.53982306,0.36999989,-7.53982306
-7.53982306,0.40999988,-8.16814041
-8.16814041,0.44999987,-8.16814041
-8.16814041,0.48999986,-8.79645920
-8.79645920,0.52999985,-9.42477798
-9.42477798,0.56999987,-9.42477798
-9.42477798,0.60999990,-10.05309677
-10.05309677,0.64999992,-10.05309677
-10.05309677,0.68999994,-11.30973339
-11.30973339,0.69999999,-10.68141556
-10.68141556,0.69999999,-10.68141556
-10.68141556,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.65999997,-11.30973339
-11.30973339,0.61999995,-10.68141556
-10.68141556,0.57999992,-10.68141556
-10.68141556,0.53999990,-10.68141556
-10.68141556,0.49999991,-10.05309677
-10.05309677,0.45999992,-9.42477798
-9.42477798,0.41999993,-8.79645920
-8.79645920,0.37999994,-8.79645920
-8.79645920,0.33999994,-8.16814041
-8.16814041,0.29999995,-7.53982306
-7.53982306,0.25999996,-6.91150427
-6.91150427,0.21999997,-6.91150427
-6.91150427,0.17999998,-5.02654839
-5.02654839,0.13999999,-5.02654839
-5.02654839,0.09999999,-3.76991153
-3.76991153,0.05999999,-1.88495576
-1.88495576,0.01999999,-1.25663710
-1.25663710,-0.02000001,0.00000000
0.00000000,-0.06000001,0.62831855
0.62831855,-0.10000001,0.62831855
0.62831855,-0.14000002,1.25663710
1.25663710,-0.18000001,3.14159274
3.14159274,-0.22000000,4.39822960
4.39822960,-0.25999999,5.02654839
5.02654839,-0.29999998,6.28318548
6.28318548,-0.33999997,6.91150427
6.91150427,-0.37999997,7.53982306
7.53982306,-0.41999996,8.16814041
8.16814041,-0.45999995,8.16814041
8.16814041,-0.49999994,8.79645920
8.79645920,-0.53999996,9.42477798
9.42477798,-0.57999998,9.42477798
9.42477798,-0.62000000,10.68141556
10.68141556,-0.66000003,10.68141556
10.68141556,-0.70000005,10.68141556
10.68141556,-0.74000007,11.30973339
11.30973339,-0.78000009,11.30973339
11.30973339,-0.82000011,11.93805218
11.93805218,-0.85000002,8.79645920
8.79645920,-0.85000002,4.39822960
4.39822960,-0.85000002,1.88495576
1.88495576,-0.85000002,5.65486670
5.65486670,-0.85000002,9.42477798
9.42477798,-0.85000002,11.30973339
11.30973339,-0.85000002,12.56637096
12.56637096,-0.85000002,12.56637096
12.56637096,-0.85000002,12.56637096
12.56637096,-0.85000002,9.42477798
9.42477798,-0.85000002,5.02654839
5.02654839,-0.85000002,1.88495576
1.88495576,-0.85000002,5.65486670
5.65486670,-0.85000002,10.05309677
10.05309677,-0.85000002,12.56637096
12.56637096,-0.85000002,11.93805218
11.93805218,-0.81000000,12.56637096
12.56637096,-0.76999998,12.56637096
12.56637096,-0.72999996,11.93805218
11.93805218,-0.68999994,11.30973339
11.30973339,-0.64999992,11.30973339
11.30973339,-0.60999990,11.30973339
11.30973339,-0.56999987,10.68141556
10.68141556,-0.52999985,10.68141556
10.68141556,-0.48999986,10.05309677
10.05309677,-0.44999987,9.42477798
9.42477798,-0.40999988,8.79645920
8.79645920,-0.36999989,8.79645920
8.79645920,-0.32999989,8.16814041
8.16814041,-0.28999990,6.91150427
6.91150427,-0.24999991,6.91150427
6.91150427,-0.20999992,6.28318548
6.28318548,-0.16999993,5.65486670
5.65486670,-0.12999994,3.76991153
3.76991153,-0.08999994,3.14159274
3.14159274,-0.04999994,1.88495576
1.88495576,-0.00999994,1.25663710
1.25663710,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,-0.04000000,0.00000000
0.00000000,-0.08000000,0.62831855
0.62831855,-0.12000000,1.25663710
1.25663710,-0.16000000,1.88495576
1.88495576,-0.19999999,3.14159274
3.14159274,-0.23999998,5.02654839
5.02654839,-0.27999997,5.65486670
5.65486670,-0.31999996,6.28318548
6.28318548,-0.35999995,7.53982306
7.53982306,-0.39999995,7.53982306
7.53982306,-0.43999994,8.16814041
8.16814041,-0.47999993,8.79645920
8.79645920,-0.51999992,8.79645920
8.79645920,-0.55999994,9.42477798
9.42477798,-0.59999996,10.05309677
10.05309677,-0.63999999,10.05309677
10.05309677,-0.68000001,10.68141556
10.68141556,-0.72000003,11.30973339
11.30973339,-0.76000005,11.30973339
11.30973339,-0.80000007,11.30973339
11.30973339,-0.84000009,6.91150427
6.91150427,-0.85000002,3.14159274
3.14159274,-0.85000002,1.88495576
1.88495576,-0.85000002,7.53982306
7.53982306,-0.85000002,10.05309677
10.05309677,-0.85000002,11.93805218
11.93805218,-0.85000002,12.56637096
12.56637096,-0.85000002,12.56637096
12.56637096,-0.85000002,11.93805218
11.93805218,-0.85000002,7.53982306
7.53982306,-0.85000002,3.14159274
3.14159274,-0.85000002,2.51327419
2.51327419,-0.85000002,8.16814041
8.16814041,-0.85000002,10.68141556
10.68141556,-0.85000002,11.93805218
11.93805218,-0.85000002,12.56637096
12.56637096,-0.85000002,12.56637096
12.56637096,-0.85000002,12.56637096
12.56637096,-0.85000002,8.16814041
8.16814041,-0.85000002,3.76991153
3.76991153,-0.85000002,2.51327419
2.51327419,-0.81000000,7.53982306
7.53982306,-0.76999998,10.05309677
10.05309677,-0.72999996,11.30973339
11.30973339,-0.68999994,11.30973339
11.30973339,-0.64999992,11.93805218
11.93805218,-0.60999990,10.68141556
10.68141556,-0.56999987,10.68141556
10.68141556,-0.52999985,10.68141556
10.68141556,-0.48999986,9.42477798
9.42477798,-0.44999987,10.05309677
10.05309677,-0.40999988,8.79645920
8.79645920,-0.36999989,8.16814041
8.16814041,-0.32999989,8.16814041
8.16814041,-0.28999990,7.53982306
7.53982306,-0.24999991,6.91150427
6.91150427,-0.20999992,5.65486670
5.65486670,-0.16999993,5.65486670
5.65486670,-0.12999994,4.39822960
4.39822960,-0.08999994,2.51327419
2.51327419,-0.04999994,1.88495576
1.88495576,-0.00999994,1.25663710
1.25663710,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.04000000,0.00000000
0.00000000,0.08000000,-0.62831855
-0.62831855,0.12000000,-0.62831855
-0.62831855,0.16000000,-2.51327419
-2.51327419,0.19999999,-3.14159274
-3.14159274,0.23999998,-4.39822960
-4.39822960,0.27999997,-6.28318548
-6.28318548,0.31999996,-6.28318548
-6.28318548,0.35999995,-7.53982306
-7.53982306,0.39999995,-7.53982306
-7.53982306,0.43999994,-8.79645920
-8.79645920,0.47999993,-8.16814041
-8.16814041,0.51999992,-8.79645920
-8.79645920,0.55999994,-9.42477798
-9.42477798,0.59999996,-9.42477798
-9.42477798,0.63999999,-10.05309677
-10.05309677,0.68000001,-10.68141556
-10.68141556,0.69999999,-10.68141556
-10.68141556,0.69999999,-10.68141556
-10.68141556,0.69999999,-10.68141556
-10.68141556,0.69999999,-11.30973339
-11.30973339,0.69999999,-10.68141556
-10.68141556,0.69999999,-11.30973339
-11.30973339,0.69999999,-10.68141556
-10.68141556,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-10.68141556
-10.68141556,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-11.30973339
-11.30973339,0.69999999,-10.68141556
-10.68141556,0.65999997,-11.30973339
-11.30973339,0.61999995,-10.68141556
-10.68141556,0.57999992,-10.68141556
-10.68141556,0.53999990,-10.05309677
-10.05309677,0.49999991,-9.42477798
-9.42477798,0.45999992,-10.05309677
-10.05309677,0.41999993,-8.79645920
-8.79645920,0.37999994,-8.16814041
-8.16814041,0.33999994,-8.16814041
-8.16814041,0.29999995,-7.53982306
-7.53982306,0.25999996,-7.53982306
-7.53982306,0.21999997,-5.65486670
-5.65486670,0.17999998,-6.28318548
-6.28318548,0.13999999,-4.39822960
-4.39822960,0.09999999,-3.76991153
-3.76991153,0.05999999,-2.51327419
-2.51327419,0.01999999,-1.25663710
-1.25663710,-0.02000001,0.00000000
0.00000000,-0.06000001,0.62831855
0.62831855,-0.10000001,0.62831855
0.62831855,-0.14000002,2.51327419
2.51327419,-0.18000001,3.14159274
3.14159274,-0.22000000,4.39822960
4.39822960,-0.25999999,5.02654839
5.02654839,-0.29999998,6.28318548
6.28318548,-0.33999997,6.91150427
6.91150427,-0.37999997,7.53982306
7.53982306,-0.41999996,8.16814041
8.16814041,-0.45999995,8.79645920
8.79645920,-0.49999994,8.16814041
8.16814041,-0.53999996,9.42477798
9.42477798,-0.57999998,10.05309677
10.05309677,-0.62000000,10.05309677
10.05309677,-0.66000003,10.05309677
10.05309677,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.69999999,11.30973339
11.30973339,-0.65999997,10.68141556
10.68141556,-0.61999995,11.30973339
11.30973339,-0.57999992,10.68141556
10.68141556,-0.53999990,10.05309677
10.05309677,-0.49999991,10.05309677
10.05309677,-0.45999992,9.42477798
9.42477798,-0.41999993,9.42477798
9.42477798,-0.37999994,8.79645920
8.79645920,-0.33999994,8.16814041
8.16814041,-0.29999995,7.53982306
7.53982306,-0.25999996,6.91150427
6.91150427,-0.21999997,6.28318548
6.28318548,-0.17999998,5.65486670
5.65486670,-0.13999999,4.39822960
4.39822960,-0.09999999,3.14159274
3.14159274,-0.05999999,2.51327419
2.51327419,-0.01999999,1.25663710
1.25663710,0.02000001,0.00000000
0.00000000,0.06000001,0.00000000
0.00000000,0.10000001,-0.62831855
-0.62831855,0.14000002,-1.25663710
-1.25663710,0.18000001,-3.14159274
-3.14159274,0.22000000,-4.39822960
-4.39822960,0.25999999,-5.65486670
-5.65486670,0.29999998,-5.65486670
-5.65486670,0.25999999,-6.91150427
-6.91150427,0.22000000,-5.65486670
-5.65486670,0.18000001,-5.65486670
-5.65486670,0.14000002,-5.02654839
-5.02654839,0.10000002,-3.14159274
-3.14159274,0.06000002,-1.88495576
-1.88495576,0.02000002,-1.88495576
-1.88495576,0.00000000,-0.62831855
-0.62831855,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,-0.04000000,0.62831855
0.62831855,-0.08000000,0.62831855
0.62831855,-0.12000000,1.25663710
1.25663710,-0.16000000,1.88495576
1.88495576,-0.19999999,3.14159274
3.14159274,-0.23999998,4.39822960
4.39822960,-0.27999997,5.65486670
5.65486670,-0.31999996,6.91150427
6.91150427,-0.35999995,6.91150427
6.91150427,-0.39999995,8.16814041
8.16814041,-0.43999994,7.53982306
7.53982306,-0.47999993,8.79645920
8.79645920,-0.51999992,9.42477798
9.42477798,-0.55000001,8.79645920
8.79645920,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.55000001,10.05309677
10.05309677,-0.55000001,9.42477798
9.42477798,-0.55000001,10.05309677
10.05309677,-0.59000003,10.05309677
10.05309677,-0.63000005,10.68141556
